episode 191 of 1000 complete,  explore val = 0.01, episode reward = 62.0, ave reward = 178.0
episode 192 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 179.2
episode 193 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 179.2
episode 194 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 179.4
episode 195 of 1000 complete,  explore val = 0.01, episode reward = 85.0, ave reward = 179.3
episode 196 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 183.8
episode 197 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 183.5
episode 198 of 1000 complete,  explore val = 0.01, episode reward = 415.0, ave reward = 187.2
episode 199 of 1000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 185.0
episode 200 of 1000 complete,  explore val = 0.01, episode reward = 70.0, ave reward = 184.8
episode 201 of 1000 complete,  explore val = 0.01, episode reward = 99.0, ave reward = 185.3
episode 202 of 1000 complete,  explore val = 0.01, episode reward = 131.0, ave reward = 184.2
episode 203 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 188.3
episode 204 of 1000 complete,  explore val = 0.01, episode reward = 105.0, ave reward = 188.6
episode 205 of 1000 complete,  explore val = 0.01, episode reward = 111.0, ave reward = 189.2
episode 206 of 1000 complete,  explore val = 0.01, episode reward = 98.0, ave reward = 189.7
episode 207 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 192.6
episode 208 of 1000 complete,  explore val = 0.01, episode reward = 81.0, ave reward = 192.1
episode 209 of 1000 complete,  explore val = 0.01, episode reward = 424.0, ave reward = 192.8
episode 210 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 196.1
episode 211 of 1000 complete,  explore val = 0.01, episode reward = 443.0, ave reward = 200.0
q-learning algorithm complete
