training episode 140 of 300 complete,  explore val = 0.01, episode reward = 61.0
training episode 141 of 300 complete,  explore val = 0.01, episode reward = 61.0
training episode 142 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 143 of 300 complete,  explore val = 0.01, episode reward = 56.0
training episode 144 of 300 complete,  explore val = 0.01, episode reward = 89.0
training episode 145 of 300 complete,  explore val = 0.01, episode reward = 51.0
training episode 146 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 147 of 300 complete,  explore val = 0.01, episode reward = 50.0
training episode 148 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 149 of 300 complete,  explore val = 0.01, episode reward = 56.0
training episode 150 of 300 complete,  explore val = 0.01, episode reward = 71.0
training episode 151 of 300 complete,  explore val = 0.01, episode reward = 57.0
training episode 152 of 300 complete,  explore val = 0.01, episode reward = 73.0
training episode 153 of 300 complete,  explore val = 0.01, episode reward = 406.0
training episode 154 of 300 complete,  explore val = 0.01, episode reward = 63.0
training episode 155 of 300 complete,  explore val = 0.01, episode reward = 63.0
training episode 156 of 300 complete,  explore val = 0.01, episode reward = 57.0
training episode 157 of 300 complete,  explore val = 0.01, episode reward = 51.0
training episode 158 of 300 complete,  explore val = 0.01, episode reward = 133.0
training episode 159 of 300 complete,  explore val = 0.01, episode reward = 93.0
training episode 160 of 300 complete,  explore val = 0.01, episode reward = 75.0
training episode 161 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 162 of 300 complete,  explore val = 0.01, episode reward = 98.0
training episode 163 of 300 complete,  explore val = 0.01, episode reward = 54.0
training episode 164 of 300 complete,  explore val = 0.01, episode reward = 92.0
training episode 165 of 300 complete,  explore val = 0.01, episode reward = 61.0
training episode 166 of 300 complete,  explore val = 0.01, episode reward = 62.0
training episode 167 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 168 of 300 complete,  explore val = 0.01, episode reward = 64.0
training episode 169 of 300 complete,  explore val = 0.01, episode reward = 106.0
training episode 170 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 171 of 300 complete,  explore val = 0.01, episode reward = 66.0
training episode 172 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 173 of 300 complete,  explore val = 0.01, episode reward = 54.0
training episode 174 of 300 complete,  explore val = 0.01, episode reward = 64.0
training episode 175 of 300 complete,  explore val = 0.01, episode reward = 70.0
training episode 176 of 300 complete,  explore val = 0.01, episode reward = 61.0
training episode 177 of 300 complete,  explore val = 0.01, episode reward = 55.0
training episode 178 of 300 complete,  explore val = 0.01, episode reward = 104.0
training episode 179 of 300 complete,  explore val = 0.01, episode reward = 62.0
training episode 180 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 181 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 182 of 300 complete,  explore val = 0.01, episode reward = 70.0
training episode 183 of 300 complete,  explore val = 0.01, episode reward = 83.0
training episode 184 of 300 complete,  explore val = 0.01, episode reward = 67.0
training episode 185 of 300 complete,  explore val = 0.01, episode reward = 41.0
training episode 186 of 300 complete,  explore val = 0.01, episode reward = 87.0
training episode 187 of 300 complete,  explore val = 0.01, episode reward = 76.0
training episode 188 of 300 complete,  explore val = 0.01, episode reward = 61.0
training episode 189 of 300 complete,  explore val = 0.01, episode reward = 63.0
training episode 190 of 300 complete,  explore val = 0.01, episode reward = 49.0
training episode 191 of 300 complete,  explore val = 0.01, episode reward = 51.0
training episode 192 of 300 complete,  explore val = 0.01, episode reward = 76.0
training episode 193 of 300 complete,  explore val = 0.01, episode reward = 72.0
training episode 194 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 195 of 300 complete,  explore val = 0.01, episode reward = 267.0
training episode 196 of 300 complete,  explore val = 0.01, episode reward = 304.0
training episode 197 of 300 complete,  explore val = 0.01, episode reward = 76.0
training episode 198 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 199 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 200 of 300 complete,  explore val = 0.01, episode reward = 56.0
training episode 201 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 202 of 300 complete,  explore val = 0.01, episode reward = 111.0
training episode 203 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 204 of 300 complete,  explore val = 0.01, episode reward = 137.0
training episode 205 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 206 of 300 complete,  explore val = 0.01, episode reward = 61.0
training episode 207 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 208 of 300 complete,  explore val = 0.01, episode reward = 64.0
training episode 209 of 300 complete,  explore val = 0.01, episode reward = 69.0
training episode 210 of 300 complete,  explore val = 0.01, episode reward = 60.0
training episode 211 of 300 complete,  explore val = 0.01, episode reward = 99.0
training episode 212 of 300 complete,  explore val = 0.01, episode reward = 72.0
training episode 213 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 214 of 300 complete,  explore val = 0.01, episode reward = 59.0
training episode 215 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 216 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 217 of 300 complete,  explore val = 0.01, episode reward = 75.0
training episode 218 of 300 complete,  explore val = 0.01, episode reward = 500.0
training episode 219 of 300 complete,  explore val = 0.01, episode reward = 70.0
training episode 220 of 300 complete,  explore val = 0.01, episode reward = 80.0
training episode 221 of 300 complete,  explore val = 0.01, episode reward = 80.0
training episode 222 of 300 complete,  explore val = 0.01, episode reward = 59.0
training episode 223 of 300 complete,  explore val = 0.01, episode reward = 66.0
training episode 224 of 300 complete,  explore val = 0.01, episode reward = 83.0
training episode 225 of 300 complete,  explore val = 0.01, episode reward = 73.0
training episode 226 of 300 complete,  explore val = 0.01, episode reward = 67.0
training episode 227 of 300 complete,  explore val = 0.01, episode reward = 85.0
training episode 228 of 300 complete,  explore val = 0.01, episode reward = 73.0
training episode 229 of 300 complete,  explore val = 0.01, episode reward = 67.0
training episode 230 of 300 complete,  explore val = 0.01, episode reward = 85.0
training episode 231 of 300 complete,  explore val = 0.01, episode reward = 78.0
training episode 232 of 300 complete,  explore val = 0.01, episode reward = 109.0
training episode 233 of 300 complete,  explore val = 0.01, episode reward = 72.0
training episode 234 of 300 complete,  explore val = 0.01, episode reward = 90.0
training episode 235 of 300 complete,  explore val = 0.01, episode reward = 112.0
training episode 236 of 300 complete,  explore val = 0.01, episode reward = 95.0
