training episode 144 of 1000 complete,  explore val = 0.01, episode reward = 57.0
training episode 145 of 1000 complete,  explore val = 0.01, episode reward = 43.0
training episode 146 of 1000 complete,  explore val = 0.01, episode reward = 68.0
training episode 147 of 1000 complete,  explore val = 0.01, episode reward = 92.0
training episode 148 of 1000 complete,  explore val = 0.01, episode reward = 55.0
training episode 149 of 1000 complete,  explore val = 0.01, episode reward = 147.0
training episode 150 of 1000 complete,  explore val = 0.01, episode reward = 73.0
training episode 151 of 1000 complete,  explore val = 0.01, episode reward = 81.0
training episode 152 of 1000 complete,  explore val = 0.01, episode reward = 109.0
training episode 153 of 1000 complete,  explore val = 0.01, episode reward = 156.0
training episode 154 of 1000 complete,  explore val = 0.01, episode reward = 80.0
training episode 155 of 1000 complete,  explore val = 0.01, episode reward = 53.0
training episode 156 of 1000 complete,  explore val = 0.01, episode reward = 50.0
training episode 157 of 1000 complete,  explore val = 0.01, episode reward = 177.0
training episode 158 of 1000 complete,  explore val = 0.01, episode reward = 55.0
training episode 159 of 1000 complete,  explore val = 0.01, episode reward = 84.0
training episode 160 of 1000 complete,  explore val = 0.01, episode reward = 61.0
training episode 161 of 1000 complete,  explore val = 0.01, episode reward = 49.0
training episode 162 of 1000 complete,  explore val = 0.01, episode reward = 120.0
training episode 163 of 1000 complete,  explore val = 0.01, episode reward = 92.0
training episode 164 of 1000 complete,  explore val = 0.01, episode reward = 109.0
training episode 165 of 1000 complete,  explore val = 0.01, episode reward = 45.0
training episode 166 of 1000 complete,  explore val = 0.01, episode reward = 46.0
training episode 167 of 1000 complete,  explore val = 0.01, episode reward = 62.0
training episode 168 of 1000 complete,  explore val = 0.01, episode reward = 62.0
training episode 169 of 1000 complete,  explore val = 0.01, episode reward = 55.0
training episode 170 of 1000 complete,  explore val = 0.01, episode reward = 63.0
training episode 171 of 1000 complete,  explore val = 0.01, episode reward = 203.0
training episode 172 of 1000 complete,  explore val = 0.01, episode reward = 72.0
training episode 173 of 1000 complete,  explore val = 0.01, episode reward = 115.0
training episode 174 of 1000 complete,  explore val = 0.01, episode reward = 198.0
training episode 175 of 1000 complete,  explore val = 0.01, episode reward = 54.0
training episode 176 of 1000 complete,  explore val = 0.01, episode reward = 72.0
training episode 177 of 1000 complete,  explore val = 0.01, episode reward = 81.0
training episode 178 of 1000 complete,  explore val = 0.01, episode reward = 57.0
training episode 179 of 1000 complete,  explore val = 0.01, episode reward = 60.0
training episode 180 of 1000 complete,  explore val = 0.01, episode reward = 63.0
training episode 181 of 1000 complete,  explore val = 0.01, episode reward = 167.0
training episode 182 of 1000 complete,  explore val = 0.01, episode reward = 63.0
training episode 183 of 1000 complete,  explore val = 0.01, episode reward = 67.0
training episode 184 of 1000 complete,  explore val = 0.01, episode reward = 60.0
training episode 185 of 1000 complete,  explore val = 0.01, episode reward = 54.0
training episode 186 of 1000 complete,  explore val = 0.01, episode reward = 44.0
training episode 187 of 1000 complete,  explore val = 0.01, episode reward = 112.0
training episode 188 of 1000 complete,  explore val = 0.01, episode reward = 34.0
training episode 189 of 1000 complete,  explore val = 0.01, episode reward = 47.0
training episode 190 of 1000 complete,  explore val = 0.01, episode reward = 61.0
training episode 191 of 1000 complete,  explore val = 0.01, episode reward = 86.0
training episode 192 of 1000 complete,  explore val = 0.01, episode reward = 104.0
training episode 193 of 1000 complete,  explore val = 0.01, episode reward = 41.0
training episode 194 of 1000 complete,  explore val = 0.01, episode reward = 52.0
training episode 195 of 1000 complete,  explore val = 0.01, episode reward = 62.0
training episode 196 of 1000 complete,  explore val = 0.01, episode reward = 312.0
training episode 197 of 1000 complete,  explore val = 0.01, episode reward = 82.0
training episode 198 of 1000 complete,  explore val = 0.01, episode reward = 101.0
training episode 199 of 1000 complete,  explore val = 0.01, episode reward = 62.0
training episode 200 of 1000 complete,  explore val = 0.01, episode reward = 81.0
training episode 201 of 1000 complete,  explore val = 0.01, episode reward = 74.0
training episode 202 of 1000 complete,  explore val = 0.01, episode reward = 88.0
training episode 203 of 1000 complete,  explore val = 0.01, episode reward = 61.0
training episode 204 of 1000 complete,  explore val = 0.01, episode reward = 52.0
training episode 205 of 1000 complete,  explore val = 0.01, episode reward = 35.0
training episode 206 of 1000 complete,  explore val = 0.01, episode reward = 32.0
training episode 207 of 1000 complete,  explore val = 0.01, episode reward = 34.0
training episode 208 of 1000 complete,  explore val = 0.01, episode reward = 29.0
training episode 209 of 1000 complete,  explore val = 0.01, episode reward = 50.0
training episode 210 of 1000 complete,  explore val = 0.01, episode reward = 44.0
training episode 211 of 1000 complete,  explore val = 0.01, episode reward = 76.0
training episode 212 of 1000 complete,  explore val = 0.01, episode reward = 46.0
training episode 213 of 1000 complete,  explore val = 0.01, episode reward = 79.0
training episode 214 of 1000 complete,  explore val = 0.01, episode reward = 82.0
training episode 215 of 1000 complete,  explore val = 0.01, episode reward = 86.0
training episode 216 of 1000 complete,  explore val = 0.01, episode reward = 225.0
training episode 217 of 1000 complete,  explore val = 0.01, episode reward = 69.0
training episode 218 of 1000 complete,  explore val = 0.01, episode reward = 80.0
training episode 219 of 1000 complete,  explore val = 0.01, episode reward = 80.0
training episode 220 of 1000 complete,  explore val = 0.01, episode reward = 86.0
training episode 221 of 1000 complete,  explore val = 0.01, episode reward = 113.0
training episode 222 of 1000 complete,  explore val = 0.01, episode reward = 90.0
training episode 223 of 1000 complete,  explore val = 0.01, episode reward = 107.0
training episode 224 of 1000 complete,  explore val = 0.01, episode reward = 65.0
training episode 225 of 1000 complete,  explore val = 0.01, episode reward = 72.0
training episode 226 of 1000 complete,  explore val = 0.01, episode reward = 47.0
training episode 227 of 1000 complete,  explore val = 0.01, episode reward = 40.0
training episode 228 of 1000 complete,  explore val = 0.01, episode reward = 45.0
training episode 229 of 1000 complete,  explore val = 0.01, episode reward = 73.0
training episode 230 of 1000 complete,  explore val = 0.01, episode reward = 53.0
training episode 231 of 1000 complete,  explore val = 0.01, episode reward = 41.0
training episode 232 of 1000 complete,  explore val = 0.01, episode reward = 55.0
training episode 233 of 1000 complete,  explore val = 0.01, episode reward = 45.0
training episode 234 of 1000 complete,  explore val = 0.01, episode reward = 51.0
training episode 235 of 1000 complete,  explore val = 0.01, episode reward = 38.0
training episode 236 of 1000 complete,  explore val = 0.01, episode reward = 51.0
training episode 237 of 1000 complete,  explore val = 0.01, episode reward = 38.0
training episode 238 of 1000 complete,  explore val = 0.01, episode reward = 32.0
training episode 239 of 1000 complete,  explore val = 0.01, episode reward = 47.0
training episode 240 of 1000 complete,  explore val = 0.01, episode reward = 54.0
training episode 241 of 1000 complete,  explore val = 0.01, episode reward = 92.0
training episode 242 of 1000 complete,  explore val = 0.01, episode reward = 112.0
training episode 243 of 1000 complete,  explore val = 0.01, episode reward = 176.0
training episode 244 of 1000 complete,  explore val = 0.01, episode reward = 84.0
training episode 245 of 1000 complete,  explore val = 0.01, episode reward = 69.0
training episode 246 of 1000 complete,  explore val = 0.01, episode reward = 59.0
training episode 247 of 1000 complete,  explore val = 0.01, episode reward = 64.0
training episode 248 of 1000 complete,  explore val = 0.01, episode reward = 61.0
training episode 249 of 1000 complete,  explore val = 0.01, episode reward = 85.0
training episode 250 of 1000 complete,  explore val = 0.01, episode reward = 52.0
training episode 251 of 1000 complete,  explore val = 0.01, episode reward = 54.0
training episode 252 of 1000 complete,  explore val = 0.01, episode reward = 95.0
training episode 253 of 1000 complete,  explore val = 0.01, episode reward = 282.0
training episode 254 of 1000 complete,  explore val = 0.01, episode reward = 68.0
training episode 255 of 1000 complete,  explore val = 0.01, episode reward = 164.0
training episode 256 of 1000 complete,  explore val = 0.01, episode reward = 352.0
training episode 257 of 1000 complete,  explore val = 0.01, episode reward = 77.0
training episode 258 of 1000 complete,  explore val = 0.01, episode reward = 136.0
training episode 259 of 1000 complete,  explore val = 0.01, episode reward = 89.0
training episode 260 of 1000 complete,  explore val = 0.01, episode reward = 71.0
training episode 261 of 1000 complete,  explore val = 0.01, episode reward = 101.0
training episode 262 of 1000 complete,  explore val = 0.01, episode reward = 192.0
training episode 263 of 1000 complete,  explore val = 0.01, episode reward = 60.0
training episode 264 of 1000 complete,  explore val = 0.01, episode reward = 315.0
training episode 265 of 1000 complete,  explore val = 0.01, episode reward = 125.0
training episode 266 of 1000 complete,  explore val = 0.01, episode reward = 102.0
training episode 267 of 1000 complete,  explore val = 0.01, episode reward = 306.0
training episode 268 of 1000 complete,  explore val = 0.01, episode reward = 352.0
training episode 269 of 1000 complete,  explore val = 0.01, episode reward = 192.0
training episode 270 of 1000 complete,  explore val = 0.01, episode reward = 52.0
training episode 271 of 1000 complete,  explore val = 0.01, episode reward = 83.0
