episode 150 of 1000 complete,  explore val = 0.01, episode reward = 44.0, ave reward = 38.3
episode 151 of 1000 complete,  explore val = 0.01, episode reward = 145.0, ave reward = 39.6
episode 152 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 39.8
episode 153 of 1000 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 39.8
episode 154 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 40.1
episode 155 of 1000 complete,  explore val = 0.01, episode reward = 29.0, ave reward = 40.0
episode 156 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 40.1
episode 157 of 1000 complete,  explore val = 0.01, episode reward = 187.0, ave reward = 41.8
episode 158 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 42.1
episode 159 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 42.1
episode 160 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 42.4
episode 161 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 42.6
episode 162 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 42.6
episode 163 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 42.8
episode 164 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 43.1
episode 165 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 43.5
episode 166 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 43.7
episode 167 of 1000 complete,  explore val = 0.01, episode reward = 32.0, ave reward = 43.9
episode 168 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 44.0
episode 169 of 1000 complete,  explore val = 0.01, episode reward = 77.0, ave reward = 44.7
episode 170 of 1000 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 45.3
episode 171 of 1000 complete,  explore val = 0.01, episode reward = 45.0, ave reward = 45.5
episode 172 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 45.9
episode 173 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 46.2
episode 174 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 46.3
episode 175 of 1000 complete,  explore val = 0.01, episode reward = 144.0, ave reward = 47.2
