episode 119 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 68.0
episode 120 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 67.6
episode 121 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 67.7
episode 122 of 1000 complete,  explore val = 0.01, episode reward = 30.0, ave reward = 67.6
episode 123 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 62.9
episode 124 of 1000 complete,  explore val = 0.01, episode reward = 44.0, ave reward = 61.7
episode 125 of 1000 complete,  explore val = 0.01, episode reward = 18.0, ave reward = 61.4
episode 126 of 1000 complete,  explore val = 0.01, episode reward = 15.0, ave reward = 56.6
episode 127 of 1000 complete,  explore val = 0.01, episode reward = 81.0, ave reward = 55.0
episode 128 of 1000 complete,  explore val = 0.01, episode reward = 80.0, ave reward = 55.0
episode 129 of 1000 complete,  explore val = 0.01, episode reward = 259.0, ave reward = 55.4
episode 130 of 1000 complete,  explore val = 0.01, episode reward = 54.0, ave reward = 57.8
episode 131 of 1000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 58.2
episode 132 of 1000 complete,  explore val = 0.01, episode reward = 152.0, ave reward = 58.8
episode 133 of 1000 complete,  explore val = 0.01, episode reward = 79.0, ave reward = 59.9
episode 134 of 1000 complete,  explore val = 0.01, episode reward = 58.0, ave reward = 60.5
episode 135 of 1000 complete,  explore val = 0.01, episode reward = 114.0, ave reward = 61.0
episode 136 of 1000 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 62.0
episode 137 of 1000 complete,  explore val = 0.01, episode reward = 49.0, ave reward = 62.6
episode 138 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 62.8
episode 139 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 63.3
episode 140 of 1000 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 63.8
episode 141 of 1000 complete,  explore val = 0.01, episode reward = 68.0, ave reward = 64.4
episode 142 of 1000 complete,  explore val = 0.01, episode reward = 72.0, ave reward = 64.8
episode 143 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 61.1
episode 144 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 61.3
episode 145 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 60.9
episode 146 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 60.9
episode 147 of 1000 complete,  explore val = 0.01, episode reward = 73.0, ave reward = 60.9
episode 148 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 61.4
episode 149 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 61.4
episode 150 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 61.2
episode 151 of 1000 complete,  explore val = 0.01, episode reward = 331.0, ave reward = 61.7
episode 152 of 1000 complete,  explore val = 0.01, episode reward = 368.0, ave reward = 64.5
episode 153 of 1000 complete,  explore val = 0.01, episode reward = 120.0, ave reward = 67.8
episode 154 of 1000 complete,  explore val = 0.01, episode reward = 72.0, ave reward = 68.8
episode 155 of 1000 complete,  explore val = 0.01, episode reward = 294.0, ave reward = 69.5
episode 156 of 1000 complete,  explore val = 0.01, episode reward = 64.0, ave reward = 71.9
episode 157 of 1000 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 72.3
episode 158 of 1000 complete,  explore val = 0.01, episode reward = 107.0, ave reward = 72.5
episode 159 of 1000 complete,  explore val = 0.01, episode reward = 117.0, ave reward = 73.1
episode 160 of 1000 complete,  explore val = 0.01, episode reward = 94.0, ave reward = 73.8
episode 161 of 1000 complete,  explore val = 0.01, episode reward = 376.0, ave reward = 74.1
episode 162 of 1000 complete,  explore val = 0.01, episode reward = 175.0, ave reward = 76.4
episode 163 of 1000 complete,  explore val = 0.01, episode reward = 156.0, ave reward = 75.4
episode 164 of 1000 complete,  explore val = 0.01, episode reward = 379.0, ave reward = 74.0
episode 165 of 1000 complete,  explore val = 0.01, episode reward = 382.0, ave reward = 76.8
episode 166 of 1000 complete,  explore val = 0.01, episode reward = 94.0, ave reward = 80.2
episode 167 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 80.8
episode 168 of 1000 complete,  explore val = 0.01, episode reward = 80.0, ave reward = 81.3
episode 169 of 1000 complete,  explore val = 0.01, episode reward = 95.0, ave reward = 81.7
episode 170 of 1000 complete,  explore val = 0.01, episode reward = 112.0, ave reward = 82.4
episode 171 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 80.2
episode 172 of 1000 complete,  explore val = 0.01, episode reward = 178.0, ave reward = 84.4
episode 173 of 1000 complete,  explore val = 0.01, episode reward = 337.0, ave reward = 85.4
episode 174 of 1000 complete,  explore val = 0.01, episode reward = 155.0, ave reward = 88.4
episode 175 of 1000 complete,  explore val = 0.01, episode reward = 206.0, ave reward = 89.7
episode 176 of 1000 complete,  explore val = 0.01, episode reward = 178.0, ave reward = 91.4
episode 177 of 1000 complete,  explore val = 0.01, episode reward = 254.0, ave reward = 92.2
episode 178 of 1000 complete,  explore val = 0.01, episode reward = 193.0, ave reward = 94.0
episode 179 of 1000 complete,  explore val = 0.01, episode reward = 151.0, ave reward = 95.4
episode 180 of 1000 complete,  explore val = 0.01, episode reward = 224.0, ave reward = 94.1
episode 181 of 1000 complete,  explore val = 0.01, episode reward = 221.0, ave reward = 95.8
episode 182 of 1000 complete,  explore val = 0.01, episode reward = 152.0, ave reward = 97.7
episode 183 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 99.1
episode 184 of 1000 complete,  explore val = 0.01, episode reward = 245.0, ave reward = 104.0
episode 185 of 1000 complete,  explore val = 0.01, episode reward = 208.0, ave reward = 106.2
episode 186 of 1000 complete,  explore val = 0.01, episode reward = 176.0, ave reward = 107.8
episode 187 of 1000 complete,  explore val = 0.01, episode reward = 213.0, ave reward = 109.1
episode 188 of 1000 complete,  explore val = 0.01, episode reward = 286.0, ave reward = 110.7
episode 189 of 1000 complete,  explore val = 0.01, episode reward = 254.0, ave reward = 113.4
episode 190 of 1000 complete,  explore val = 0.01, episode reward = 243.0, ave reward = 115.8
episode 191 of 1000 complete,  explore val = 0.01, episode reward = 209.0, ave reward = 117.8
episode 192 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 119.1
episode 193 of 1000 complete,  explore val = 0.01, episode reward = 330.0, ave reward = 123.7
episode 194 of 1000 complete,  explore val = 0.01, episode reward = 251.0, ave reward = 126.6
episode 195 of 1000 complete,  explore val = 0.01, episode reward = 175.0, ave reward = 128.4
episode 196 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 129.8
episode 197 of 1000 complete,  explore val = 0.01, episode reward = 307.0, ave reward = 134.5
episode 198 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 137.0
episode 199 of 1000 complete,  explore val = 0.01, episode reward = 337.0, ave reward = 141.7
episode 200 of 1000 complete,  explore val = 0.01, episode reward = 101.0, ave reward = 144.9
episode 201 of 1000 complete,  explore val = 0.01, episode reward = 402.0, ave reward = 145.6
episode 202 of 1000 complete,  explore val = 0.01, episode reward = 270.0, ave reward = 149.2
episode 203 of 1000 complete,  explore val = 0.01, episode reward = 261.0, ave reward = 151.6
episode 204 of 1000 complete,  explore val = 0.01, episode reward = 102.0, ave reward = 154.0
episode 205 of 1000 complete,  explore val = 0.01, episode reward = 11.0, ave reward = 154.7
episode 206 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 154.5
episode 207 of 1000 complete,  explore val = 0.01, episode reward = 214.0, ave reward = 154.2
episode 208 of 1000 complete,  explore val = 0.01, episode reward = 67.0, ave reward = 155.8
episode 209 of 1000 complete,  explore val = 0.01, episode reward = 62.0, ave reward = 156.0
episode 210 of 1000 complete,  explore val = 0.01, episode reward = 28.0, ave reward = 155.9
episode 211 of 1000 complete,  explore val = 0.01, episode reward = 207.0, ave reward = 155.8
episode 212 of 1000 complete,  explore val = 0.01, episode reward = 311.0, ave reward = 157.5
episode 213 of 1000 complete,  explore val = 0.01, episode reward = 165.0, ave reward = 159.9
episode 214 of 1000 complete,  explore val = 0.01, episode reward = 241.0, ave reward = 161.0
episode 215 of 1000 complete,  explore val = 0.01, episode reward = 141.0, ave reward = 162.9
episode 216 of 1000 complete,  explore val = 0.01, episode reward = 131.0, ave reward = 163.7
episode 217 of 1000 complete,  explore val = 0.01, episode reward = 128.0, ave reward = 164.3
episode 218 of 1000 complete,  explore val = 0.01, episode reward = 97.0, ave reward = 165.0
episode 219 of 1000 complete,  explore val = 0.01, episode reward = 121.0, ave reward = 165.2
episode 220 of 1000 complete,  explore val = 0.01, episode reward = 97.0, ave reward = 166.1
episode 221 of 1000 complete,  explore val = 0.01, episode reward = 114.0, ave reward = 166.6
episode 222 of 1000 complete,  explore val = 0.01, episode reward = 95.0, ave reward = 167.4
episode 223 of 1000 complete,  explore val = 0.01, episode reward = 100.0, ave reward = 168.0
episode 224 of 1000 complete,  explore val = 0.01, episode reward = 111.0, ave reward = 168.4
episode 225 of 1000 complete,  explore val = 0.01, episode reward = 95.0, ave reward = 169.1
episode 226 of 1000 complete,  explore val = 0.01, episode reward = 86.0, ave reward = 169.8
episode 227 of 1000 complete,  explore val = 0.01, episode reward = 88.0, ave reward = 170.6
episode 228 of 1000 complete,  explore val = 0.01, episode reward = 84.0, ave reward = 170.6
episode 229 of 1000 complete,  explore val = 0.01, episode reward = 71.0, ave reward = 170.7
episode 230 of 1000 complete,  explore val = 0.01, episode reward = 58.0, ave reward = 168.8
episode 231 of 1000 complete,  explore val = 0.01, episode reward = 44.0, ave reward = 168.8
episode 232 of 1000 complete,  explore val = 0.01, episode reward = 28.0, ave reward = 168.5
episode 233 of 1000 complete,  explore val = 0.01, episode reward = 25.0, ave reward = 167.3
episode 234 of 1000 complete,  explore val = 0.01, episode reward = 98.0, ave reward = 166.7
episode 235 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 167.1
episode 236 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 166.2
episode 237 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 165.8
episode 238 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 165.6
episode 239 of 1000 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 165.3
episode 240 of 1000 complete,  explore val = 0.01, episode reward = 101.0, ave reward = 165.1
episode 241 of 1000 complete,  explore val = 0.01, episode reward = 135.0, ave reward = 165.4
episode 242 of 1000 complete,  explore val = 0.01, episode reward = 89.0, ave reward = 166.1
episode 243 of 1000 complete,  explore val = 0.01, episode reward = 129.0, ave reward = 166.2
episode 244 of 1000 complete,  explore val = 0.01, episode reward = 108.0, ave reward = 166.9
episode 245 of 1000 complete,  explore val = 0.01, episode reward = 122.0, ave reward = 167.7
episode 246 of 1000 complete,  explore val = 0.01, episode reward = 116.0, ave reward = 168.6
episode 247 of 1000 complete,  explore val = 0.01, episode reward = 124.0, ave reward = 169.5
episode 248 of 1000 complete,  explore val = 0.01, episode reward = 133.0, ave reward = 170.0
episode 249 of 1000 complete,  explore val = 0.01, episode reward = 119.0, ave reward = 171.0
episode 250 of 1000 complete,  explore val = 0.01, episode reward = 113.0, ave reward = 172.0
episode 251 of 1000 complete,  explore val = 0.01, episode reward = 132.0, ave reward = 172.5
episode 252 of 1000 complete,  explore val = 0.01, episode reward = 119.0, ave reward = 170.5
episode 253 of 1000 complete,  explore val = 0.01, episode reward = 141.0, ave reward = 168.0
episode 254 of 1000 complete,  explore val = 0.01, episode reward = 104.0, ave reward = 168.2
episode 255 of 1000 complete,  explore val = 0.01, episode reward = 130.0, ave reward = 168.6
episode 256 of 1000 complete,  explore val = 0.01, episode reward = 113.0, ave reward = 166.9
episode 257 of 1000 complete,  explore val = 0.01, episode reward = 122.0, ave reward = 167.4
episode 258 of 1000 complete,  explore val = 0.01, episode reward = 139.0, ave reward = 167.8
episode 259 of 1000 complete,  explore val = 0.01, episode reward = 108.0, ave reward = 168.1
episode 260 of 1000 complete,  explore val = 0.01, episode reward = 127.0, ave reward = 168.0
episode 261 of 1000 complete,  explore val = 0.01, episode reward = 127.0, ave reward = 168.4
episode 262 of 1000 complete,  explore val = 0.01, episode reward = 145.0, ave reward = 165.9
episode 263 of 1000 complete,  explore val = 0.01, episode reward = 119.0, ave reward = 165.6
episode 264 of 1000 complete,  explore val = 0.01, episode reward = 120.0, ave reward = 165.2
episode 265 of 1000 complete,  explore val = 0.01, episode reward = 96.0, ave reward = 162.6
episode 266 of 1000 complete,  explore val = 0.01, episode reward = 125.0, ave reward = 159.8
episode 267 of 1000 complete,  explore val = 0.01, episode reward = 108.0, ave reward = 160.1
episode 268 of 1000 complete,  explore val = 0.01, episode reward = 120.0, ave reward = 160.4
episode 269 of 1000 complete,  explore val = 0.01, episode reward = 122.0, ave reward = 160.8
episode 270 of 1000 complete,  explore val = 0.01, episode reward = 103.0, ave reward = 161.1
episode 271 of 1000 complete,  explore val = 0.01, episode reward = 234.0, ave reward = 161.0
episode 272 of 1000 complete,  explore val = 0.01, episode reward = 93.0, ave reward = 158.3
episode 273 of 1000 complete,  explore val = 0.01, episode reward = 122.0, ave reward = 157.5
episode 274 of 1000 complete,  explore val = 0.01, episode reward = 142.0, ave reward = 155.3
episode 275 of 1000 complete,  explore val = 0.01, episode reward = 107.0, ave reward = 155.2
episode 276 of 1000 complete,  explore val = 0.01, episode reward = 138.0, ave reward = 154.2
episode 277 of 1000 complete,  explore val = 0.01, episode reward = 121.0, ave reward = 153.8
episode 278 of 1000 complete,  explore val = 0.01, episode reward = 132.0, ave reward = 152.5
episode 279 of 1000 complete,  explore val = 0.01, episode reward = 146.0, ave reward = 151.8
episode 280 of 1000 complete,  explore val = 0.01, episode reward = 132.0, ave reward = 151.8
episode 281 of 1000 complete,  explore val = 0.01, episode reward = 142.0, ave reward = 150.9
episode 282 of 1000 complete,  explore val = 0.01, episode reward = 133.0, ave reward = 150.1
episode 283 of 1000 complete,  explore val = 0.01, episode reward = 113.0, ave reward = 149.9
episode 284 of 1000 complete,  explore val = 0.01, episode reward = 106.0, ave reward = 146.0
episode 285 of 1000 complete,  explore val = 0.01, episode reward = 153.0, ave reward = 144.6
episode 286 of 1000 complete,  explore val = 0.01, episode reward = 103.0, ave reward = 144.1
episode 287 of 1000 complete,  explore val = 0.01, episode reward = 160.0, ave reward = 143.4
episode 288 of 1000 complete,  explore val = 0.01, episode reward = 106.0, ave reward = 142.8
episode 289 of 1000 complete,  explore val = 0.01, episode reward = 14.0, ave reward = 141.0
episode 290 of 1000 complete,  explore val = 0.01, episode reward = 121.0, ave reward = 138.6
episode 291 of 1000 complete,  explore val = 0.01, episode reward = 107.0, ave reward = 137.4
episode 292 of 1000 complete,  explore val = 0.01, episode reward = 18.0, ave reward = 136.4
episode 293 of 1000 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 131.6
episode 294 of 1000 complete,  explore val = 0.01, episode reward = 115.0, ave reward = 128.5
episode 295 of 1000 complete,  explore val = 0.01, episode reward = 204.0, ave reward = 127.2
episode 296 of 1000 complete,  explore val = 0.01, episode reward = 141.0, ave reward = 127.5
episode 297 of 1000 complete,  explore val = 0.01, episode reward = 155.0, ave reward = 123.9
episode 298 of 1000 complete,  explore val = 0.01, episode reward = 152.0, ave reward = 122.4
episode 299 of 1000 complete,  explore val = 0.01, episode reward = 168.0, ave reward = 118.9
episode 300 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 117.2
episode 301 of 1000 complete,  explore val = 0.01, episode reward = 119.0, ave reward = 116.4
episode 302 of 1000 complete,  explore val = 0.01, episode reward = 270.0, ave reward = 113.6
episode 303 of 1000 complete,  explore val = 0.01, episode reward = 152.0, ave reward = 113.6
episode 304 of 1000 complete,  explore val = 0.01, episode reward = 243.0, ave reward = 112.5
episode 305 of 1000 complete,  explore val = 0.01, episode reward = 195.0, ave reward = 113.9
episode 306 of 1000 complete,  explore val = 0.01, episode reward = 329.0, ave reward = 115.7
episode 307 of 1000 complete,  explore val = 0.01, episode reward = 182.0, ave reward = 118.9
episode 308 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 118.6
episode 309 of 1000 complete,  explore val = 0.01, episode reward = 188.0, ave reward = 122.9
episode 310 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 124.2
episode 311 of 1000 complete,  explore val = 0.01, episode reward = 181.0, ave reward = 128.9
episode 312 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 128.6
episode 313 of 1000 complete,  explore val = 0.01, episode reward = 229.0, ave reward = 130.5
episode 314 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 131.2
episode 315 of 1000 complete,  explore val = 0.01, episode reward = 197.0, ave reward = 133.8
episode 316 of 1000 complete,  explore val = 0.01, episode reward = 197.0, ave reward = 134.3
episode 317 of 1000 complete,  explore val = 0.01, episode reward = 177.0, ave reward = 135.0
episode 318 of 1000 complete,  explore val = 0.01, episode reward = 201.0, ave reward = 135.5
episode 319 of 1000 complete,  explore val = 0.01, episode reward = 196.0, ave reward = 136.5
episode 320 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 137.3
episode 321 of 1000 complete,  explore val = 0.01, episode reward = 277.0, ave reward = 141.3
episode 322 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 142.9
episode 323 of 1000 complete,  explore val = 0.01, episode reward = 197.0, ave reward = 147.0
episode 324 of 1000 complete,  explore val = 0.01, episode reward = 305.0, ave reward = 147.9
episode 325 of 1000 complete,  explore val = 0.01, episode reward = 221.0, ave reward = 149.9
